OBJECTID_1,WorldID,Zone_Name,World,Adm4ID,Adm3ID,Adm2ID,Adm1ID,CntyID,Levels,Adm4_Name,Adm3_Name,Adm2_Name,Adm1_Name,Cnty_Name,Composite,RegionYWAM,GlobalID,FieldYWAM,Population,PopPct,Name,OZcount,Shape_Leng,Cen_x,Cen_y,Shape_Le_1,Shape_Area,OZ_Label,OZ_Label1
319,RUS-URA-KUR,Kurgan,C,,,RUS-URA-KUR,RUS-URA,RUS,2,,,Kurgan,Ural Federal Okrug,Russia,0,Eastern Europe Region,{7AA398E5-E398-4CFD-863C-57BF3CAA2F33},"Europe, Middle East and North Africa Field",1051899.92687000000,0.74939261142,,1,23.20958163990,64.81233116580,55.44837563880,23.20958163990,10.16619896410,Kurgan,Kurgan
320,RUS-URA-SVE,Sverdlovsk,C,,,RUS-URA-SVE,RUS-URA,RUS,2,,,Sverdlovsk,Ural Federal Okrug,Russia,0,Eastern Europe Region,{4589C3D9-C9F9-4318-8229-FC1C90FA2C3F},"Europe, Middle East and North Africa Field",4432226.59090000000,3.15759871686,,1,36.13794675320,61.52940928600,58.58742164750,36.13794675320,30.01218048740,Sverdlovsk,Sverdlovsk
352,CHN-HEI-QIT,Qitaihe Shi,B,,,CHN-HEI-QIT,CHN-HEI,CHN,2,,,Qitaihe Shi,Heilongjiang Province,China,0,East Asia Region,{CC7A8AA1-43B9-475A-A9ED-BEA9F3731BA6},Asia and Pacific Field,903484.49910500000,0.06751480711,,1,4.77519465954,130.86891898400,45.89517428560,4.77519465954,0.60919145610,Qitaihe Shi,Qitaihe Shi
353,CHN-HEI-SHU,Shuangyashan Shi,B,,,CHN-HEI-SHU,CHN-HEI,CHN,2,,,Shuangyashan Shi,Heilongjiang Province,China,0,East Asia Region,{A04381D7-AA24-47DD-8695-6059CA08EB38},Asia and Pacific Field,1578100.49876000000,0.11792692723,,1,11.78562585380,132.51402933300,46.65064809510,11.78562585380,2.69336020806,Shuangyashan Shi,Shuangyashan Shi
354,CHN-HEI-SUI,Suihua Shi,B,,,CHN-HEI-SUI,CHN-HEI,CHN,2,,,Suihua Shi,Heilongjiang Province,China,0,East Asia Region,{23FF0C9D-800B-40BC-ADBD-9021610BD96E},Asia and Pacific Field,5711792.02661000000,0.42682584741,,1,14.82068185570,126.62918877100,46.89162820670,14.82068185570,4.18664047079,Suihua Shi,Suihua Shi
355,CHN-HEI-YIC,Yichun Shi,B,,,CHN-HEI-YIC,CHN-HEI,CHN,2,,,Yichun Shi,Heilongjiang Province,China,0,East Asia Region,{1906AD61-9CCE-498F-84E1-D147CED80B7C},Asia and Pacific Field,1397565.24583000000,0.10443604522,,1,14.70996373080,129.21401054500,47.81114654710,14.70996373080,3.95921473577,Yichun Shi,Yichun Shi
356,CHN-HEN-ANY,Anyang Shi,B,,,CHN-HEN-ANY,CHN-HEN,CHN,2,,,Anyang Shi,Henan Province,China,0,East Asia Region,{20274387-17DD-44DB-99BC-FCF45D6AFF4A},Asia and Pacific Field,3946244.98345000000,0.29489157717,,1,6.49998150553,114.34468206200,35.87653814840,6.49998150553,0.73218110841,Anyang Shi,Anyang Shi
357,CHN-HEN-HEB,Hebi Shi,B,,,CHN-HEN-HEB,CHN-HEN,CHN,2,,,Hebi Shi,Henan Province,China,0,East Asia Region,{23DD353E-60D4-4946-A62A-758D00228187},Asia and Pacific Field,1053697.79115000000,0.07873981590,,1,2.50365059304,114.29854991300,35.71841427190,2.50365059304,0.21310275571,Hebi Shi,Hebi Shi
358,CHN-HEN-JIA,Jiaozuo Shi,B,,,CHN-HEN-JIA,CHN-HEN,CHN,2,,,Jiaozuo Shi,Henan Province,China,0,East Asia Region,{BA6FF754-C8ED-4E38-88A9-F52E23E16F00},Asia and Pacific Field,2996861.76970000000,0.22394689066,,1,4.35032297062,112.89789217100,35.09515482230,4.35032297062,0.59438318794,Jiaozuo Shi,Jiaozuo Shi
359,CHN-HEN-KAI,Kaifeng Shi,B,,,CHN-HEN-KAI,CHN-HEN,CHN,2,,,Kaifeng Shi,Henan Province,China,0,East Asia Region,{8DFFEB7E-826B-4DD5-80DA-39ED825EC8AA},Asia and Pacific Field,3570645.07327000000,0.26682407240,,1,4.75066133227,114.52972272100,34.60106418840,4.75066133227,0.61352670737,Kaifeng Shi,Kaifeng Shi
530,AUS-TAS,Tasmania,C,,,,AUS-TAS,AUS,1,,,,Tasmania,Australia,0,South East Asia and Australia Region,{1140C763-EA37-41D7-ADE5-769FBA7139C2},Asia and Pacific Field,522069.03688800000,2.42743774998,,1,52.86480457090,146.62324636600,-41.96919609600,52.86480457090,7.43556144109,Tasmania,Tasmania
